C_Name,T_Name,TOWN_ID,nfullname,web
澎湖縣,西嶼鄉,1001604,澎湖縣西嶼鄉,0.089
臺東縣,長濱鄉,1001408,臺東縣長濱鄉,0.065
花蓮縣,豐濱鄉,1001508,花蓮縣豐濱鄉,0.19
金門縣,金沙鎮,902002,金門縣金沙鎮,0.144
新竹縣,五峰鄉,1000413,新竹縣五峰鄉,0.076
澎湖縣,白沙鄉,1001603,澎湖縣白沙鄉,0.114
屏東縣,瑪家鄉,1001328,屏東縣瑪家鄉,0.059
花蓮縣,萬榮鄉,1001512,花蓮縣萬榮鄉,0.128
臺東縣,延平鄉,1001413,臺東縣延平鄉,0.021
臺東縣,達仁鄉,1001415,臺東縣達仁鄉,0.038
高雄市,桃源區,6403700,高雄市桃源區,0.062
高雄市,那瑪夏區,6403800,高雄市那瑪夏區,0.049
屏東縣,春日鄉,1001331,屏東縣春日鄉,0.027
臺東縣,金峰鄉,1001414,臺東縣金峰鄉,0
屏東縣,來義鄉,1001330,屏東縣來義鄉,0.019
屏東縣,牡丹鄉,1001333,屏東縣牡丹鄉,0.021
金門縣,烈嶼鄉,902005,金門縣烈嶼鄉,0.065
澎湖縣,望安鄉,1001605,澎湖縣望安鄉,0.051
連江縣,南竿鄉,900701,連江縣南竿鄉,0.079
屏東縣,霧臺鄉,1001327,屏東縣霧臺鄉,0.013
臺東縣,海端鄉,1001412,臺東縣海端鄉,0.013
花蓮縣,卓溪鄉,1001513,花蓮縣卓溪鄉,0.084
高雄市,茂林區,6403600,高雄市茂林區,0.027
臺東縣,綠島鄉,1001411,臺東縣綠島鄉,0.04
連江縣,北竿鄉,900702,連江縣北竿鄉,0.027
臺東縣,蘭嶼鄉,1001416,臺東縣蘭嶼鄉,0.027
連江縣,莒光鄉,900703,連江縣莒光鄉,0
連江縣,東引鄉,900704,連江縣東引鄉,0
金門縣,烏坵鄉,902006,金門縣烏坵鄉,0
澎湖縣,七美鄉,1001606,澎湖縣七美鄉,0
